feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFITM3,62.594071647825665,2.205167414293998,0.21056269134766714,10.4727356977641,1.1526292681374586e-25,6.493913296686442e-22
ISG15,41.156252324985545,2.175488905436376,0.21216147343261965,10.253930038468033,1.13627407822199e-24,3.2008840783513458e-21
IFI6,38.41553624047072,2.1861994063675496,0.21630930908486778,10.106820717132457,5.152937276158776e-24,9.67721620462618e-21
LY6E,36.87237969935977,1.9284806891458974,0.19387207621079106,9.94718129004365,2.594271481650209e-23,3.654031381904319e-20
IFI44,6.083412952477452,2.290002563491067,0.24390932005276342,9.388745632990508,6.071903796489077e-21,6.841821197883892e-18
EPSTI1,8.807960551838388,1.871768619805463,0.20366228252951732,9.19055112492016,3.908337413084247e-20,3.669928830886108e-17
IFI44L,11.642701782975104,2.549815686059846,0.2863341058153658,8.905036578855963,5.336844647070005e-19,4.2953975345132017e-16
MT2A,43.74493591310729,1.4346115514381044,0.16979551561182202,8.449054418597493,2.936715726075046e-17,1.8899972999422183e-14
IFI27,16.856300616346935,4.370314365998352,0.5174528875562382,8.445820810157088,3.019165015882138e-17,1.8899972999422183e-14
RPS14,334.12675126716334,-0.2774552073229818,0.03339088110694143,-8.309310749673607,9.625954078209518e-17,5.423262527663242e-14
TYMP,69.28146039461275,0.7351510703624604,0.08989062665898966,8.178283962257154,2.879146318858465e-16,1.4746463964044175e-13
RPS27A,249.8126074249485,-0.30303685712951267,0.03711738609314588,-8.164283346058994,3.233491067214044e-16,1.5181240560569934e-13
RPL41,545.3084794675925,-0.214980382749636,0.026836783842529594,-8.010661188429957,1.1409337005599876e-15,4.944631129965361e-13
LAP3,9.197215576323147,1.226480908560858,0.15560332550154465,7.882099592715214,3.219252663047793e-15,1.2955192502579476e-12
RPL7,221.08255063653957,-0.3712809081794482,0.047874910180564834,-7.755229342031693,8.818396319254005e-15,3.3121896575118045e-12
OAS2,3.516613163691474,1.9967649501792755,0.2610518586650714,7.648920641247445,2.0267326327800175e-14,7.136632283176637e-12
TNFSF13B,24.2073336892219,0.6384228362692898,0.08419106623656464,7.583023529781824,3.3759359135855935e-14,1.0566679409522908e-11
RPS23,211.85418112869775,-0.3054813628483053,0.04025249366171777,-7.5891288975926,3.220632615153506e-14,1.0566679409522908e-11
B2M,810.1327899264887,0.366061314058726,0.04892768263983373,7.481681009774674,7.337788158574655e-14,2.1758472887057688e-11
PLAC8,16.9234342610556,1.1909260242293194,0.15938061181816088,7.4722139075991265,7.885668105009039e-14,2.221392705181046e-11
